Total missing description_fr: 695
  have description_en: 374
  no description_en: 321

=== NO description_en - need invented descriptions ===
Antelope-like Animal (Small) | Animal de type antilope (petit) | Herbivores and Other Normally Non-Aggressive Animals | Lv1 | sz=M | OB:20SHo80/00STs20
neck, 2'–3' prehensile tongue Innate Abilities: FBr; lx/min; 30x/day; bolt range 200'; cone length 100', cone base 50'; 50% have StBr; lx/3 rnds; bolt range 150' Natural Abilities: Base movement 100% 

--- Hydra ---
7'–15' tail Innate Abilities: 3–9 regenerative heads; Primary head and body defend on super large critical table, other heads use large critical table; each head has FBr; Cone length 40', base 25' 1x/

--- Sirrush ---
Innate Abilities: Innate Caster (6xlvl PP, all of the “Illusionist” base lists to the creature's level); SBr bolt; 200' range; lx/min, 10x/day. Natural Abilities: Grapples with 5'–10' prehensile tongu

--- Abraxas ---
Natural Abilities: Snake legs can grasp foes; directs beak at vulnerable areas, eyes, etc. A fowl’s head and snake’s legs merge with the human torso of the abraxas, whose virulent temper matches its a

--- Caustic Slime ---
Innate Abilities: Touch delivers 6–15 hits/ round; heat or cold elemental attacks deliver double damage.

--- Chimera ---
Innate Abilities: Snake head FBr (Bolt range 100' 1x/round) Natural Abilities: The two heads and the snake can all attack once per round. A lion possessing an extra head — that of a goat — the voracio

--- Echidna (Lamiae) ---
2young; 10–15' Innate Abilities: Innate Caster (animist base lists to 10th level) Natural Abilities: Snake tail can grasp foes. The translucent scales of its serpent’s tail blend at the waist into the

--- Euryale ---
Innate Abilities: GBr: Cone 10'base 10'length acts as level 12 poison; instantly turns to stone those who inhale it (RR): mild, 1–100 minutes (open–ended), moderate, 2–20 hours, serious, 1–100 days (o

--- Gorgon (Medusa) ---
Innate Abilities: Sight of its face instantly turns victim to stone (RR): for duration see euryale above); the snakes’ venom is 5th level special poison (var. E) which paralyzes victim: mild, 1–5 roun

--- Great Porcupine ---
3–4'long Innate Abilities: Shoots 1–10 quills at a time, as light crossbow bolts. Larger and more ferocious than its smaller cousin, the great porcupine shoots its sharp- ened quills at enemies standi

--- Gulo ---
Thick, white fur patterned by black mark- ings protects the gulo from chill during the fiercest of blizzards, while an insatiable appetite provides the energy required by frigid climes. Cat’s head wed

--- Guyascutus ---
Natural Abilities: Prehensile tail can grasp foes Telescopic legs assure the comfort of this herd beast on even the steepest slopes. A massive, serpentine tail wraps around rocks and other projections

--- Jackalope ---
A large hare with the antlers of an ante- lope, the Jackalope possesses the timid nature of the rabbit. When threatened it attempts to bolt to the safety of its hole. Only if cornered will it turn to 

--- Ki-lin ---
Innate Abilities: Innate Caster (“Invisible Ways” and “Lofty Bridge” Essence lists to 20th level). Hints of careless sea–Foam, glacial ice, and serene moonlight illumine the snowy hide of the ki–lin. 

--- Killer Rabbit ---
Natural Abilities: Bounds for the throat, never for another part of the body. A plump bundle of fluff identical to its harmless cousin, the killer rabbit betrays its true nature after the innocent way

--- Manticore ---
Innate Abilities: Tail may shoot two iron darts each round (treat as heavy crossbow) that dispense a 3rd level (var. A) Nerve poison. Coarse, slovenly beasts whose favorite prey is man, manticores ree

--- Minotaur ---
Innate Abilities: Innate Caster (“Monk’s Sense” and “Body Renewal” Monk lists to 20th level). Sylvan mazes and cavernous labyrinths house the rapacious minotaur, whose red eyes gleam from a bull’s hea

--- Rumtifusel ---
Innate Abilities: Sucking pores deliver 2–20 hits/round; if struck while on a victim, victim receives the same number of concus- sion hits and criticals decrease 2 in severity. A flat, rug–like beast 

--- Sasquatch/Yeti ---
Innate Abilities: Pelt changes colors and shades to help blend in with surroundings, + 100 to all stalking/hiding rolls. Fond of glaciers and icy wastes where snow never melts, the sasquatch’s furry p

--- Scylla ---
Innate Abilities: Innate Caster (All illusion- ist base lists to 10th level). Tropical lagoons soothe the tempers of the feisty scylla, creating the illusion of preening mermaids and mermen by hiding 

--- Seftuau ---
Wild, tangled hair falls from the seftuau’s mannish head to brush the tawny hide of its lion’s body. Brute savagery remains absent from its temperament, but a primitive innocence often moves the seftu

--- Su ---
River banks and marshes attract the fierce, elegant Su to their reeds and rushes. The dainty greyhound’s body exhibits a squirrel’s tail that curls up and over its back, sheltering the young that ofte

--- Tove ---
A badger with a lizard’s tail and corkscrewed digging talons, the tove shelters exclusively near or under stone structures and subsists on nuts and dairy products. It prefers sharp, nutty cheeses, but

--- Zephyr Hound (Fire Hound) ---
Innate Abilities: FBr: Bolt range is 50', cone length is 30' with a 20' base; immune to fire attacks; takes double damage from cold attacks. Glowing red eyes match the smoking flames that roar from a 

--- Ice Hound ---
Innate Abilities: CBr: cone with 50' length and 30'base; IBr: standard Cone range; immune to cold attacks; takes double damage from fire attacks. Gray fur and fluorescent blue eyes suggest the frigid

--- Night Hound ---
Innate Abilities: GBr 4th level poison (var. C) which induces comas: mild 1–10 rounds, moderate 1–10 minutes, serious 1–10 hours, extreme 1–10 days; breath is standard cone: 50' length and 30' base; i

--- Zephyr Hound (Storm Hound) ---
Innate Abilities: SBr: bolt range is 100', cone length is 50' with a 30' base; immune to electricity attacks; takes double damage from water attacks. Static–Filled, yellow fur crackles around the lith

--- Vapor Hound ---
Innate Abilities: GBr: 3rd level reduction poison (var. B); breath is a cone: 30' length and 20' base; it is immune to its own breath and all reduction poisons. Soft–Footed as the breeze, these hounds

--- Zephyr Hound (Water Hound) ---
Innate Abilities: WBr: Bolt range of 100'; immune to water attacks; takes double damage from fire attacks; can swim well and can breathe water as well as air. These hounds are as much at home in the w

--- Construct (Minor) ---
intelligence; often have single mission Innate Abilities: Possess built–in dart–thrower (lcb; lx/round; unusable in melee).

--- Construct (Lesser) ---
Innate Abilities: Bite accompanied by a 2nd level muscle poison (variability b) or a 3rd level reduction poison (variability a).

--- Construct (Greater) ---
Innate Abilities: Bite accompanied by a 4th level muscle poison (variability b) or a 6th level reduction poison (variability a). Giant spiders are huge predatory arach- nids, the largest variety of ve

--- Flesh ---
Innate Abilities: Capable of wearing garb

--- Clay ---
Innate Abilities: Immune to crush criticals.

--- Tar ---
Innate Abilities: Immune to crush criticals; if foe delivers hits but no critical their weapon sticks in golem. Golems are formed of solid substances imbued with a spirit. Many are creatures given lif

--- Golem (Stone) ---
Innate Abilities: Softer weapons must make a RR each time they deliver hits (wood –5; bone –0); non–brittle; moves as clay golem.

--- Iron ---
Innate Abilities: Softer weapons must make a RR each time they deliver hits (wood –30; bone –10).

--- Steel ---
Innate Abilities: Softer weapons must make a RR each time they deliver hits (wood –40; bone –20; iron –10).

--- Eog ---
Innate Abilities: Softer weapons must make a RR each time they deliver hits (wood –60; bone –40; iron –30; steel –10; mithril –10).

--- Shard (Lesser) ---
Innate Abilities: Bite accompanied by a 2nd level muscle poison (variability b) or a 3rd level reduction poison (variability a).

--- Shard (Greater) ---
Innate Abilities: Bite accompanied by a 4th level muscle poison (variability b) or a 6th level reduction poison (variability a). Giant spiders are huge predatory arach- nids, the largest variety of ve

--- Warder (Lesser) ---
Innate Abilities: Bite accompanied by a 2nd level muscle poison (variability b) or a 3rd level reduction poison (variability a).

--- Warder (Greater) ---
Innate Abilities: Bite accompanied by a 4th level muscle poison (variability b) or a 6th level reduction poison (variability a). Giant spiders are huge predatory arach- nids, the largest variety of ve

--- Androsphinx ---
35' wingspan Innate Abilities: Innate Caster (“Creations” and all Ranger lists to 10th level) A lion’s mane shot with streaks of pure gold haloes their mannish face with supernal light. Their lithe li

--- Banshee ---
15' wingspan Innate Abilities: If a RR against banshee’s cry (100'R) is failed by 01–50 victim flees per “Fear”, by 51–100 feelings of hopelessness immobilize victim, by 100+ the victim attempts suici

--- Gargoyle ---
5–7' wingspan Winged lizards or goblins of stone, gargoyles resemble statuary when still, but rarely display uniformity. Some possess fangs while others have beaks; one is fox–sized, another man–sized

--- Geryon ---
30'wingspan The upper body of a geryon is human, but its lower body is like a snake’s tail. Frequently coiled around dappled forest ponds, the geryon displays a placid tempera- ment, rarely attacking 

--- Gorcrow** ---
8' wingspan Uniform black plumage mutes the splen- dor of the gorcrow, grander than the princely raven. gorcrows fly in flocks, wheeling and diving across the sky, observing all movement on the land b

--- Minor** ---
intelligence; often have single mission Innate Abilities: Possess built–in dart–thrower (lcb; lx/round; unusable in melee).

--- Lesser** ---
Innate Abilities: Bite accompanied by a 2nd level muscle poison (variability b) or a 3rd level reduction poison (variability a).

--- Greater** ---
Innate Abilities: Bite accompanied by a 4th level muscle poison (variability b) or a 6th level reduction poison (variability a). Giant spiders are huge predatory arach- nids, the largest variety of ve

--- Great Falcon** ---
25' wingspan A skillful and acrobatic flyer, the great falcon resembles its lesser cousin, the per- egrine, in its prowess as an aerial killer. A blow from the talons dispatches the prey at the end of

--- Great Wasp ---
young (many die); 10' wingspan Innate Abilities: Sting delivers special level 3 poison (var. B) — causes paralysis in the part of body struck. Two large, compound eyes and prominent antennae equip the

--- Hippogriff ---
Wary of men, the hippogriff dwells among the lonely crags of deserted mountains. It shares the eagle–like forequarters and wings of the gryphon, but the hippogriff’s ears and

--- Ki-rin ---
Innate Abilities: Innate Caster (All Cleric and Healer base lists to 15th level); walk and climb the sky and clouds as if hills or mountains. The cloven hooves of ki–rin tread air, clouds, and wind as

--- Lammasu ---
35' wingspan Innate Abilities: Innate Caster (Animist lists to 15th level) Desert caves or sun–drenched rocks in the plains harbor the warmth–loving lammasu. A pride of lions bearing eagle–wings, the 

--- Pegasus ---
Remote alpine valleys secure privacy for the shy pegasus. Meadow grasses and flowers underfoot, winds whistling through the peaks above, and the company of its own kind satisfy the simple desires of t

--- Phoenix** ---
25'–35' wingspan Innate Abilities: Innate Caster (“Fire Law” to 20th level.); immune to fire damage; takes double damage from cold attacks; treat ice bolts as “slaying”. Red and gold plumage clothes t

--- Roc** ---
80'–120' wingspan Innate Abilities: Treat claw attacks as “magic” against large or super–large creatures. A survivor from primeval eras, the roc remains one of the largest birds hunting the skies. Its

--- Siren** ---
Innate Abilities: Innate Caster (20th level charm spell at will to all within earshot who fail RR) Clustered on rocky islands near danger- ous coral reefs, sirens lure mariners to these hazards with m

--- Sphinx ---
30' wingspan Innate Abilities: Innate Caster (Mentalist base spell lists to 15th level) A solitary creature who lingers along the roads outside of cities, the sphinx delights in annoying travelers. On

--- Steardan ---
Perfect reflections of the graceful pegasi, steardan mirror their cousins in form alone. A steardan’s intelligence, although remarkable, is suited to a beast. As steeds, steardan display fierce loyalt

--- Thyfur** ---
More companionable than the great eagles whom they resemble, the thyfur form enduring friendships with men and women, rarely parting from the rider of their choice. Bird and rider shelter in a shared 

--- Doppelganger ---
Innate Abilities: Shapechanger (Alters form at will to resemble another, 1 change/round); Innate Caster (all spells on the Mystic list, “Mystical Change” to 50th lvl). Mutable flesh enables the doppel

--- Empusa ---
Innate Abilities: Shapechanger (Assumes any organic form within _x and 2x her mass, but does not obtain any special abilities or spell casting capabilities; 1 round/change). A gaunt, old hag who conce

--- Naga (Snakeform) ---
Innate Abilities: Shapechanger (May take human form at will.). Natural Abilities: Fangs dispense 5th level nerve poison (var. D). Normally appearing as snakes with constrictive and poisoning abilities

--- Naga (Humanform) ---
Innate Abilities: Shapechanger (May take human form at will.). Natural Abilities: Fangs dispense 5th level nerve poison (var. D). Normally appearing as snakes with constrictive and poisoning abilities

--- Naga (Human/Snakeform) ---
Innate Abilities: Shapechanger (May take human form at will.). Natural Abilities: Fangs dispense 5th level nerve poison (var. D). Normally appearing as snakes with constrictive and poisoning abilities

--- Plon ---
Innate Abilities: Shapechanger (shifts from flaming globe to flaming dragon or serpent at will at 1 change/round.); Can use it’s powers of Suggestion on any within hear- ing (effects as per the “Sugge

--- Pooka ---
Innate Abilities: Shapechanger (Can take on the form of any small mammal; can enlarge to 3x normal size, for 5 minutes every hour); Invisible at will. Animal spirits who make mischief in the domestic 

--- Silverscale (Humanform) ---
Innate Abilities: Shapechanger (May assume either human form or dragon form at will, requires 1 round of concentration); Innate Caster (All Bard base lists to 20th level, and “Mind Visions” Seer list 

--- Dragonform ---
Innate Abilities: Shapechanger (May assume either human form or dragon form at will, requires 1 round of concentration); Innate Caster (All Bard base lists to 20th level, and “Mind Visions” Seer list 

--- Strige ---
Innate Abilities: Shapechanger (at will from human form to giant raven form, 1 round/ change); Innate Caster (all bard lists to 10th level when human.) Shape shifters whose womanly form changes to tha

--- Vargamor ---
Innate Abilities: Innate Caster (As maid: All Magician lists to 10th level; as matron: all Cleric and Evil Cleric lists to10th level; as crone, all Mentalist, Seer, Bard, and As- trologer base spell l

--- Vestice ---
Innate Abilities: Shapechanger (Can assume any animal form within ½x and 2x her mass, 1 round/change); Innate Caster (“Disease” and “Curses” Evil Cleric lists to 20th level.) Wild women who can assume

--- Anklosaur ---
travel in groups of 3–30; thick armor plates cover its low, wide back; prehensile tail ends in huge bony club; 15'–25' body; back is AT 20, underside is AT 4. Anklosaurs are low–slung vegetarians. The

--- Triceratops ---
travel in groups of 3–30; armored head sports two 2'6"–4' horns and one 1'–2' nose horn; 18'–27' body; head is AT 20; body is AT 4. The triceratops is an agile, fast–moving herbivore, a rather unique 

--- Stegosaur ---
stupid; upland herbivore; travel in groups of 2–20; prehensile tail supports four to six 18"–30" spikes; 20'–35' body. The stegosaur is a peaceful herbivore with a low–slung head and tail and an archi

--- Pterosaurs (fly) (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Cyclops ---
One–eyed giants who prefer solitude, cyclops keep tidy, well–provisioned caves full of wax–sealed cheeses, dried meats, jars of honey, and casks of wine. The remains of trespassers are flung out onto 

--- Giant (Minor) ---
intelligence; often have single mission Innate Abilities: Possess built–in dart–thrower (lcb; lx/round; unusable in melee).

--- Giant (Major) ---
Innate Abilities: Bite accompanied by a 10th level muscle poison (variability b) or a 20th level reduction poison (variability a). Innate Caster (3xlevel pp “Essence’s Percep- tions,” “Detecting Ways,

--- Giants, Greater (intelligentraces) (Cloud) ---
Innate Abilities: Innate Caster (4x/lvl PP, “Liquid Alteration”, “Essence Hand”, “Lofty Bridge”, and “Wind Law” lists to the creature's level).

--- Giants, Greater (intelligentraces) (Fire) ---
capable of casting flamelets. Innate Abilities: Must maintain contact with ground; grappled/enveloped victim takes a ‘D’ (‘B’ for lesser) heat critical (1/ round); “cold” criticals against it are ‘sla

--- Giants, Greater (intelligentraces) (Forest) ---
Innate Abilities: Innate Caster (3x/lvl PP, “Nature’s Lore” and “Nature’s Protection” lists to the creature's level).

--- Giants, Greater (intelligentraces) (Frost) ---
Innate Abilities: Innate Caster (3x/lvl PP, “Ice Law” list to the creature's level); immune to cold; double damage from fire.

--- Giants, Greater (intelligentraces) (Hill) ---
Innate Abilities: Innate Caster (2x/lvl PP, “Solid Alteration” list to the creature's level); excellent diggers.

--- Giants, Greater (intelligentraces) (Mountain) ---
Innate Abilities: Innate Caster (3x/lvl PP, “Solid Destruction” and “Earth Law” lists to the creature's level).

--- Giants, Greater (intelligentraces) (Stone) ---
Innate Abilities: Softer weapons must make a RR each time they deliver hits (wood –5; bone –0); non–brittle; moves as clay golem.

--- Giants, Greater (intelligentraces) (Storm) ---
Innate Abilities: Innate Caster (4x/lvl PP, “Ice Law”, “Water Law”, “Wind Law”, and “Light Law” lists to the creature's level).

--- Giants, Greater (intelligentraces) (Water) ---
prehensile tail Innate Abilities: Horn or stinger attack injects nerve poison (poison level is wyvern’s level). Natural Abilities: Vertical leap 35', hori- zontal leap 200' Exclusively aquatic and liv

--- Troll (Cave) ---
Innate Abilities: Crippling Flaw (When outside in the daytime they take 10 hits/ hour); Resistant to heat and cold attacks

--- Troll (Forest) ---
Innate Abilities: Innate Caster (3x/lvl PP, “Nature’s Lore” and “Nature’s Protection” lists to the creature's level).

--- Troll (Hill) ---
Innate Abilities: Innate Caster (2x/lvl PP, “Solid Alteration” list to the creature's level); excellent diggers.

--- Troll (Mountain) ---
Innate Abilities: Innate Caster (3x/lvl PP, “Solid Destruction” and “Earth Law” lists to the creature's level).

--- Troll (Snow) ---
Innate Abilities: Crippling Flaw (Turns to ice when exposed to direct sunlight, but become normal again when night falls); Resistant to heat and cold attacks

--- Troll (Stone) ---
Innate Abilities: Softer weapons must make a RR each time they deliver hits (wood –5; bone –0); non–brittle; moves as clay golem.

--- War ---
diameter, 275' long tentacles Innate Abilities: Tentacles inject a 3rd level muscle poison (variability c). Portuguese Man–of–War are complex groupings

--- Ogre (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Titans ---
Innate Abilities: Innate Caster (5x/lvl PP, all Mentalist base lists to own level) Clean–shaven giants with handsome, nobly proportioned bodies, titans drape their muscu- lar limbs with pleated swathe

--- Dwarves ---
Natural Abilities: Darkvision Legend and song assert the dwarves to have been born of stone, naming them as sons and daughters of earth. They are a stalwart people, comfortable below ground, where the

--- Gnolls ---
Natural Abilities: Nightvision; Darkvision; dislike daylight (–25 to all activity). Small, wrinkled men with grey skin and little hair, gnolls inhabit the natural caverns

--- Gnomes ---
Natural Abilities: Nightvision; Darkvision Bald, wizened men who usually live in shallow caves, long–lived gnomes gather knowledge and lore as a hobby. Ancient tomes and rare scrolls litter their crow

--- Halflings ---
Shallow burrows dug into hillsides com- prise the majority of residences in halfling villages, although small cottages house a few families and provide taverns or inns for local meeting places. All of

--- Hobgoblins ---
Natural Abilities: Nightvision; Darkvision, dislike daylight (–25 to all activities if outdoors) Larger, tougher goblins whose skin has a muddy tinge and whose feet feel no pain, hobgoblins often ming

--- Orc (Lesser) ---
Natural Abilities: Nightvision; Darkvision; Partially blinded by sunlight (–50 to all activity)

--- Orc (Greater) ---
Natural Abilities: Nightvision; Darkvision; Dislike, but can operate normally in sunlight. Rumor asserts that Orcs possess as ancestors elves whose minds and bodies were twisted by evil. If any truth 

--- Dwelfs ---
Natural Abilities: Darkvision Fair little trolls, dwelfs dig modest holes in stream banks and hills for their homes. They roam underground mines, generating strange knocking sounds that confuse

--- Gremlins ---
Natural Abilities: They are ‘stunned’ in direct sunlight; they regularly use poison on their weapons. Withered skin and deformed limbs echo the spite and malice harbored by these wicked fey. Teeth fil

--- Nixies ---
Innate Abilities: Touch grants “Water Lungs” from Monk “Body Reigns" at will. Natural Abilities: Can breathe water or air Crystal palaces beneath the calm ripples of mountain lakes or the foaming wave

--- Leprechaun ---
Innate Abilities: +75 to hiding/stalking Small, yet hearty creatures with red cheeks and smiling mouths, Leprechauns are shoe- makers. Always occupied with leather and needle in hand, a leprechaun cre

--- Pech ---
Innate Abilities: 50% have the alchemist base lists, “Inorganic Skills”, “Channeling Imbed- ding”, and “Enchanting Ways”, to their level. Natural Abilities: Nightvision Expert stonemasons who work by 

--- Centaurs ---
front hooves to head Nobly proportioned men and women whose torso joins at the waist to the four–legged body of a horse, centaurs rarely mire their aspirations with the greed for material possessions 

--- Garks ---
Mottled gray fur covers all of the ape–like gark, except the palms and soles of their feet. Long arms hang to their knees, and a powerful, prehensile tail grows from the base of their spine. Most gark

--- Idiyva (Felines) ---
Natural Abilities: Nightvision Short, gold–tipped coffee fur covers the lithe, well–muscled form of the idiyva (except at the face, the genitals, the palms, and the soles of the feet). Smooth, brown s

--- Mermen ---
head to fin Innate Ability: A small percentage (5%) are mutations that can shapechange their fish tail into a pair of scaled human legs, this transformation (either way) usually takes 1 minute of conc

--- Neanderthals ---
5'10"tall Muscular men with sloping foreheads and oversized jaws, Neanderthals have brown hair and eyes, and tan skin. Their intellect is not powerful, but a cooperative, good–tem- pered disposition m

--- Sea-Krals ---
Natural Abilities: Nightvision Sea–Krals are ape–like creatures with dark grey or blue skin and a pelt of thick, white hair growing on the head, neck, and shoul- ders. Females possess an additional th

--- Sohleugir (Lizardmen) ---
Textured, jade scales shimmer on the hide of the amphibious sohleugir, interrupted by fin–like ridges rising along the spine. These jagged spikes march from the tip of the 3' tail to the crown of the 

--- Allibat ---
combat ability. They are prolific breeders, however, so they seem Allibats are essentially flying alligators, as they possess dark to always be abundant.

--- Bone Worm ---
These creatures are bone-white, eyeless worms with large maws Thi Wolf: (hf)-(10)-5; 3' tall; 2-3 pups. and strong, bone-crushing teeth.

--- Crison ---
rabbits, gabbits and other rodents. Crison are wooly cattle with two large horns on their snouts to defend themselves.

--- Didex ---
as if two individuals; carrying cap. 150 lbs.

--- Gabbit ---
Gulos, Jackalopes, Su, Toves, Gorcrows, Great Wasps, Dinosaurs, A gabbit appears to be a small rabbit with short ears. They come Pterosaurs, Elotheres, Megalodons, and Sabretooth Tigers.

--- Kraeguth ---
Crison hair is made into yam and critical severity by 1 level. cloth, while its meat and milk are used by many people who Kraeguth are much like large bears, but instead of being mam- domesticate them

--- Regal Stag ---
Didex are giant two-headed birds, bright orange in color. They This creature is on the highest rung of the social ladder as far as have large beaks with which to attack (and can attack as two deer go.

--- Sera Pren ---
BJ wasps. They will live with normal wasps, and are never encoun- circulatory poison; each head can attack and operate as an tered on their own.

--- Serpentus ---
J-2 young; reduce critical severity by 1 level. The carnivorous slug has a huge tooth-filled maw and seeks out Th.is elegant creature has all of the equine features of a warhorse, large prey like deer

--- Swamp Octopus ---
Large creature critical table. These Large creatures are amphibians, dwelling in marshes, These large beasts appear, for all practical purposes, like their jungles, and places where water sources are 

--- Tentmorse ---
SPINED SLUG A round body with ten tentacles radiating outwards makes up a tentmorse, They are green, with a large red mouth and two white eyes. They dwell in forests, us.ing their tentacles to maneuve

--- Trivren ---
~7:/t'-· '\~'. Trivren are three-winged birds.

--- War Snail ---
Once wild creatures, war snails have become totally domesti- cated, and live only in captivity now. They look somewhat like normal-sized snails, but have extra-large shells.

--- Dark Drake - Young ---
length 200'; cone base 40' as per lightning bolt with cold These dragons are thought to either be the result of cross- criticals - see Necromancer list, "Dark Law", RMC II) breeding many dragon types 

--- Dark Drake - Mature ---
length 200'; cone base 40' as per lightning bolt with cold These dragons are thought to either be the result of cross- criticals - see Necromancer list, "Dark Law", RMC II) breeding many dragon types 

--- Dark Drake - Old ---
length 200'; cone base 40' as per lightning bolt with cold These dragons are thought to either be the result of cross- criticals - see Necromancer list, "Dark Law", RMC II) breeding many dragon types 

--- Behemoth ---
It is like a behemoth in nature, but is much base 400') 50'-120' body; 90'-200' wingspan; use Super Large bigger. The beating of this creature's wings alone will create winds creature critical table.

--- Dragonette ---
These tiny drakes are very small to almost medium-sized- but can be dangerous no matter what, for they still wield their larger bretheren's breath weapon (although it is not as potent). Dragon- ettes 

--- Lake Worm ---
This eyeless, wonn-like monster with a sphincter mouth full of teeth can detect all movement in the water within 200' of it. It dwells in lakes, pools, ocean shallows and underground water sources (it

--- Battlepede ---
A blacksnake with necromancer base lists will have circulatory (var. B ) poison; eyestalksfire shock bolts (Sbolt; a lair filled with undead, one with evil magician lists will consort JOO' range lx/2 

--- Blacksnake ---
C) bite; casts spells (3xlvl PP); base 25'; 4th Level (var. C) special poison: RR failure= mild, 1-6 eggs; use Large creature critical table.

--- Bounder ---
chitinous outer layer. They appear to be giant centipedes, but in These creatures are very much like frog-wolves.

--- Crecadinum ---
These creatures are in some ways insectoid, yet are actually reptilian. Their body is heavily armored and is like that of a giant armadillo.

--- Darkhunter ---
Darkbunters are wolves with eagle's beads. Some also have eagle's wings.

--- Dracasus ---
200 lbs.; riding bonus +JO;

--- Feliss ---
If the creature it is looking severity by I level. at fails its RR, it will be charmed and will believe that the klugala Feliss (fee-lis, singular and plural) are found in all butthe coldest is not a 

--- Garthis ---
Have a- 30' wingspan; 1 foal; reduce critical severity by l level. poison bite 5th level nerve poison (var.

--- Horribar ---
(U),(1)-7; 1 '-2' diameter body. These bizarre creatures fly by using a magical gland within their bodies.

--- Ice Spider ---
B) circulato,y poison; Immune to cold attacks, heat based attacks do double damage. This giant arachnid dwells in the icy glacial regions of the world.

--- Klugala ---
This strange composite creature has a hairy goat 's head perched atop its snake-like body. It can attack by butting with its horns or constricting with its body, but before it does, it will sway back 

--- Mercat ---
size; touch causes cold crits; only magic weapons can harm These amphibious creatures are lions, tigers or panthers from them; fire attacks cause no harm, cold attacks inflict double the midsection up

--- Mergryph ---
rituals can shorten these durations); snakes have a 5th level These creatures are at home in the air, on land, or in the sea. A circulatory poison (var.£); roar paralyzes foes with/ear for 1 lion's bo

--- Mistraven ---
R,DHP; 2-4 eggs; l' long, 2' wingspan; kill. They have insectoid wings and bodies, and multifaceted eyes can change to mistform at will.

--- Multi-spider ---
G) or a 6th.'Jevel reduction

--- Nasti ---
5' long, 2'-3' wingspan; excellent etc.) greatly fear mist monsters and their mending hunger for heat. nightvision.

--- Panthershark ---
G); 4'-6' across; reduce critical severity by one land as per the "lofty Bridge" (Ess.) spells, "leaping" and level. "landing"; 1-3 young; reduce critical severity by 1 level.

--- Quetzelquatl ---
C); gaze charms any poison (var. A); 1 '-2' across, 3'-4' wingspan; 50-60 eggs.

--- Sky Shark ---
Neither variety spins webs. critical severity by 1 level.

--- Sky Manta ---
(A),(T)-5; carrying capacity 300 lbs; the pair of thraxx usually fight and one eats the other. If the female riding bonus -10; l 7'-20' long; 22'-25' wide; 40% have a tail wins, the young are born 10 

--- Sky Whale ---
10% have a single spiraling horn like a na,whale, giving them

--- Tracha ---
(T)-9; 6'-7' long, 14'-19'wingspan; spits acid (victim makes RR vs 5th level attack or takes a B acid ·critical - see RMC Ill, 6' range) , bite inflicts extra acid crit, SKY MANTA casts spells, 3xlvl 

--- Viperhawk ---
eggs; bite injects a 4th level muscle poison (var. B).

--- Dragon Construct ---
; reduce critical severity by intelligent; immune to fire; carrying capacity 3000 lbs; riding 2 levels. • bonus -5; 60'-70' body; J00'-110' wingspan; use Super Large These constructs are similar to th

--- Falcon Construct ---
They differ in the fineness of their construc- (light cross bow; lx!rnd; unusable in melee); 2'-2.5' long. tion.

--- Horse Construct ---
Some have been given magically added offensive carrying capacity 800 lbs; riding bonus +30; charging attacks capabilities such as lightning bolts, gaseous breath, etc. Additional -90LBa!l 00HTr« [slas

--- Minotaur Construct ---
Often these constructs have red, green or blue 7'-8'; reduce c~itical severity by two levels. glowing eyes.

--- Snake Construct ---
It is useful accompanied by 5th level nerve poison (var. C); built-in dart as a guardian of a valuable treasure or as the mount of a very thrower (light cross bow; lx!rnd); 3'-5' long; reduce critical

--- Spider Construct ---
e., aerial reconnaissance). From a distance, they are accompanied by 6th lvl muscle poison (var.

--- Wasp Construct - Minor ---
lightning bolt (LBolt; ix/min 200' range)- minor: 5'-6' Horse constructs are usually made from black iron, sometimes wingspan; reduce crit severity by I level - major: carrying having silver inlaid in

--- Wasp Construct - Major ---
lightning bolt (LBolt; ix/min 200' range)- minor: 5'-6' Horse constructs are usually made from black iron, sometimes wingspan; reduce crit severity by I level - major: carrying having silver inlaid in

--- Dark Elemental Savant ---
), and any other spell dealing wuh darkness, 4xlvl PP; 6'-7'; use Large creature critical table.

--- Ice Elemental Savant ---
Huge, metal bull- substitute ice for crystals) and any other spells dealing with men, these constructs often bave sword blades, hooks or axe-heads cold and ice, 4xlvl PP; 6'-7'; use Large creature cri

--- Light Elemental Savant ---
Their eyes glow yellow, waiting to unleash electric of light; use of "Light law" (Magician base), "Brilliance" energy on their foes. (open ment.), "Light's Way" (open ohan.), "Brilliance Magic" Perhap

--- Water Elemental Savant ---
Collectively, they are base), "Liquid Destruction" (Sorcerer base), "liquid Altera- also known as iron serpents and are normally used to guard tion" (Mystic base), and any other spell dealing with liq

--- Iron Bull ---
they deliver hits (wood -30, bone -JO); 6'-12' long; use Super

--- Mithril Unicorn ---
